#Projectile Motion Simulation Data
#Validation Type: With Air Resistance
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (0, 0, 0)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 3.074
#Final Position (m): (10.8521, 3.61735, 0.000383062)

Time,X,Y,Z
0.623,5.27057,1.75686,13.852
0.624,5.27603,1.75868,13.8532
0.625,5.28149,1.7605,13.8544
0.626,5.28694,1.76231,13.8556
0.627,5.29239,1.76413,13.8567
0.628,5.29783,1.76594,13.8579
0.629,5.30327,1.76776,13.859
0.63,5.3087,1.76957,13.8601
0.631,5.31413,1.77138,13.8612
0.632,5.31956,1.77319,13.8623
0.633,5.32498,1.77499,13.8634
0.634,5.33039,1.7768,13.8645
0.635,5.3358,1.7786,13.8656
0.636,5.34121,1.7804,13.8666
0.637,5.34661,1.7822,13.8677
0.638,5.35201,1.784,13.8687
0.639,5.3574,1.7858,13.8697
0.64,5.36279,1.7876,13.8707
0.641,5.36817,1.78939,13.8718
0.642,5.37355,1.79118,13.8727
0.643,5.37892,1.79297,13.8737
0.644,5.38429,1.79476,13.8747
0.645,5.38966,1.79655,13.8757
0.646,5.39502,1.79834,13.8766
0.647,5.40037,1.80012,13.8776
0.648,5.40572,1.80191,13.8785
0.649,5.41107,1.80369,13.8794
0.65,5.41641,1.80547,13.8803
0.651,5.42175,1.80725,13.8812
0.652,5.42708,1.80903,13.8821
0.653,5.43241,1.8108,13.883
0.654,5.43774,1.81258,13.8838
0.655,5.44306,1.81435,13.8847
0.656,5.44837,1.81612,13.8856
0.657,5.45368,1.81789,13.8864
0.658,5.45899,1.81966,13.8872
0.659,5.46429,1.82143,13.888
0.66,5.46959,1.8232,13.8888
0.661,5.47488,1.82496,13.8896
0.662,5.48017,1.82672,13.8904
0.663,5.48546,1.82849,13.8912
0.664,5.49074,1.83025,13.8919
0.665,5.49601,1.832,13.8927
0.666,5.50128,1.83376,13.8934
0.667,5.50655,1.83552,13.8942
0.668,5.51181,1.83727,13.8949
0.669,5.51707,1.83902,13.8956
0.67,5.52232,1.84077,13.8963
0.671,5.52757,1.84252,13.897
0.672,5.53282,1.84427,13.8977
0.673,5.53806,1.84602,13.8983
0.674,5.5433,1.84777,13.899
0.675,5.54853,1.84951,13.8996
0.676,5.55376,1.85125,13.9003
0.677,5.55898,1.85299,13.9009
0.678,5.5642,1.85473,13.9015
0.679,5.56941,1.85647,13.9021
0.68,5.57463,1.85821,13.9027
0.681,5.57983,1.85994,13.9033
0.682,5.58503,1.86168,13.9039
0.683,5.59023,1.86341,13.9044
0.684,5.59543,1.86514,13.905
0.685,5.60062,1.86687,13.9055
0.686,5.6058,1.8686,13.9061
0.687,5.61098,1.87033,13.9066
0.688,5.61616,1.87205,13.9071
0.689,5.62133,1.87378,13.9076
0.69,5.6265,1.8755,13.9081
0.691,5.63167,1.87722,13.9086
0.692,5.63683,1.87894,13.9091
0.693,5.64198,1.88066,13.9095
0.694,5.64714,1.88238,13.91
0.695,5.65228,1.88409,13.9104
0.696,5.65743,1.88581,13.9109
0.697,5.66257,1.88752,13.9113
0.698,5.6677,1.88923,13.9117
0.699,5.67283,1.89094,13.9121
0.7,5.67796,1.89265,13.9125
0.701,5.68308,1.89436,13.9129
0.702,5.6882,1.89607,13.9132
0.703,5.69332,1.89777,13.9136
0.704,5.69843,1.89948,13.914
0.705,5.70354,1.90118,13.9143
0.706,5.70864,1.90288,13.9146
