#Projectile Motion Simulation Data
#Validation Type: With Magnus Effect
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (-20, -40, 20)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 4.517
#Final Position (m): (17.2285, 8.24716, 0.000772679)

Time,X,Y,Z
0.215,1.98179,1.18779,12.5215
0.216,1.98686,1.1936,12.5305
0.217,1.99189,1.19942,12.5395
0.218,1.9969,1.20524,12.5484
0.219,2.00188,1.21106,12.5574
0.22,2.00684,1.21687,12.5663
0.221,2.01176,1.2227,12.5751
0.222,2.01666,1.22852,12.584
0.223,2.02153,1.23434,12.5928
0.224,2.02637,1.24016,12.6016
0.225,2.03119,1.24599,12.6104
0.226,2.03598,1.25181,12.6192
0.227,2.04074,1.25764,12.6279
0.228,2.04548,1.26347,12.6367
0.229,2.05019,1.26929,12.6454
0.23,2.05487,1.27512,12.654
0.231,2.05953,1.28095,12.6627
0.232,2.06416,1.28678,12.6713
0.233,2.06876,1.29261,12.6799
0.234,2.07334,1.29845,12.6885
0.235,2.07789,1.30428,12.6971
0.236,2.08242,1.31011,12.7057
0.237,2.08692,1.31595,12.7142
0.238,2.09139,1.32178,12.7227
0.239,2.09584,1.32762,12.7312
0.24,2.10026,1.33345,12.7396
0.241,2.10466,1.33929,12.7481
0.242,2.10903,1.34513,12.7565
0.243,2.11338,1.35096,12.7649
0.244,2.1177,1.3568,12.7733
0.245,2.122,1.36264,12.7816
0.246,2.12627,1.36848,12.79
0.247,2.13052,1.37432,12.7983
0.248,2.13474,1.38016,12.8066
0.249,2.13894,1.386,12.8149
0.25,2.14311,1.39185,12.8231
0.251,2.14726,1.39769,12.8313
0.252,2.15138,1.40353,12.8395
0.253,2.15548,1.40938,12.8477
0.254,2.15955,1.41522,12.8559
0.255,2.1636,1.42106,12.864
0.256,2.16763,1.42691,12.8722
0.257,2.17163,1.43275,12.8803
0.258,2.17561,1.4386,12.8884
0.259,2.17956,1.44444,12.8964
0.26,2.18349,1.45029,12.9045
0.261,2.1874,1.45614,12.9125
0.262,2.19128,1.46198,12.9205
0.263,2.19514,1.46783,12.9285
0.264,2.19898,1.47368,12.9364
0.265,2.20279,1.47953,12.9444
0.266,2.20658,1.48537,12.9523
0.267,2.21035,1.49122,12.9602
0.268,2.21409,1.49707,12.968
0.269,2.21781,1.50292,12.9759
0.27,2.22151,1.50877,12.9837
0.271,2.22518,1.51462,12.9915
0.272,2.22883,1.52047,12.9993
0.273,2.23246,1.52631,13.0071
0.274,2.23607,1.53216,13.0149
0.275,2.23965,1.53801,13.0226
0.276,2.24321,1.54386,13.0303
0.277,2.24675,1.54971,13.038
0.278,2.25027,1.55556,13.0456
0.279,2.25376,1.56141,13.0533
0.28,2.25724,1.56726,13.0609
0.281,2.26069,1.57311,13.0685
0.282,2.26411,1.57896,13.0761
0.283,2.26752,1.58481,13.0837
0.284,2.2709,1.59066,13.0912
0.285,2.27427,1.59651,13.0988
0.286,2.27761,1.60236,13.1063
0.287,2.28092,1.60821,13.1137
0.288,2.28422,1.61406,13.1212
0.289,2.2875,1.61991,13.1287
0.29,2.29075,1.62576,13.1361
0.291,2.29399,1.63161,13.1435
0.292,2.2972,1.63746,13.1509
0.293,2.30039,1.64331,13.1582
0.294,2.30356,1.64916,13.1656
0.295,2.30671,1.65501,13.1729
0.296,2.30983,1.66086,13.1802
0.297,2.31294,1.66671,13.1875
0.298,2.31603,1.67255,13.1947
0.299,2.31909,1.6784,13.202
0.3,2.32214,1.68425,13.2092
0.301,2.32516,1.6901,13.2164
0.302,2.32816,1.69595,13.2236
0.303,2.33115,1.70179,13.2308
0.304,2.33411,1.70764,13.2379
0.305,2.33705,1.71349,13.245
0.306,2.33997,1.71933,13.2521
0.307,2.34288,1.72518,13.2592
0.308,2.34576,1.73102,13.2663
0.309,2.34862,1.73687,13.2733
0.31,2.35146,1.74271,13.2803
0.311,2.35428,1.74856,13.2873
0.312,2.35709,1.7544,13.2943
0.313,2.35987,1.76025,13.3013
0.314,2.36263,1.76609,13.3082
0.315,2.36537,1.77193,13.3152
0.316,2.3681,1.77778,13.3221
0.317,2.3708,1.78362,13.3289
0.318,2.37348,1.78946,13.3358
0.319,2.37615,1.7953,13.3427
0.32,2.3788,1.80114,13.3495
0.321,2.38142,1.80698,13.3563
0.322,2.38403,1.81282,13.3631
0.323,2.38662,1.81866,13.3698
0.324,2.38919,1.8245,13.3766
0.325,2.39174,1.83034,13.3833
0.326,2.39427,1.83617,13.39
0.327,2.39678,1.84201,13.3967
0.328,2.39928,1.84785,13.4034
0.329,2.40175,1.85368,13.41
0.33,2.40421,1.85952,13.4167
0.331,2.40665,1.86535,13.4233
0.332,2.40907,1.87118,13.4298
0.333,2.41147,1.87702,13.4364
0.334,2.41385,1.88285,13.443
0.335,2.41621,1.88868,13.4495
0.336,2.41856,1.89451,13.456
0.337,2.42089,1.90034,13.4625
0.338,2.4232,1.90617,13.469
0.339,2.42549,1.912,13.4754
0.34,2.42776,1.91783,13.4819
0.341,2.43002,1.92365,13.4883
0.342,2.43226,1.92948,13.4947
0.343,2.43448,1.93531,13.5011
0.344,2.43668,1.94113,13.5074
0.345,2.43886,1.94695,13.5138
0.346,2.44103,1.95278,13.5201
0.347,2.44318,1.9586,13.5264
0.348,2.44531,1.96442,13.5327
0.349,2.44743,1.97024,13.5389
0.35,2.44952,1.97606,13.5452
0.351,2.4516,1.98188,13.5514
0.352,2.45367,1.9877,13.5576
0.353,2.45571,1.99351,13.5638
0.354,2.45774,1.99933,13.5699
0.355,2.45975,2.00514,13.5761
0.356,2.46174,2.01096,13.5822
0.357,2.46372,2.01677,13.5883
0.358,2.46568,2.02258,13.5944
0.359,2.46762,2.0284,13.6005
0.36,2.46955,2.03421,13.6065
0.361,2.47146,2.04001,13.6125
0.362,2.47335,2.04582,13.6186
0.363,2.47523,2.05163,13.6246
0.364,2.47709,2.05744,13.6305
0.365,2.47893,2.06324,13.6365
0.366,2.48076,2.06904,13.6424
0.367,2.48257,2.07485,13.6483
0.368,2.48436,2.08065,13.6542
0.369,2.48614,2.08645,13.6601
0.37,2.4879,2.09225,13.666
0.371,2.48965,2.09805,13.6718
0.372,2.49138,2.10384,13.6776
0.373,2.49309,2.10964,13.6834
0.374,2.49479,2.11544,13.6892
0.375,2.49647,2.12123,13.695
0.376,2.49813,2.12702,13.7007
0.377,2.49978,2.13281,13.7065
0.378,2.50142,2.1386,13.7122
0.379,2.50303,2.14439,13.7179
0.38,2.50463,2.15018,13.7235
0.381,2.50622,2.15597,13.7292
0.382,2.50779,2.16175,13.7348
0.383,2.50935,2.16753,13.7404
0.384,2.51089,2.17332,13.746
0.385,2.51241,2.1791,13.7516
0.386,2.51392,2.18488,13.7572
0.387,2.51541,2.19066,13.7627
0.388,2.51689,2.19643,13.7682
0.389,2.51836,2.20221,13.7737
0.39,2.5198,2.20798,13.7792
0.391,2.52124,2.21376,13.7847
0.392,2.52266,2.21953,13.7901
0.393,2.52406,2.2253,13.7956
0.394,2.52545,2.23107,13.801
0.395,2.52682,2.23684,13.8064
0.396,2.52818,2.2426,13.8117
0.397,2.52952,2.24837,13.8171
0.398,2.53085,2.25413,13.8224
0.399,2.53216,2.25989,13.8277
0.4,2.53346,2.26565,13.833
0.401,2.53475,2.27141,13.8383
0.402,2.53602,2.27717,13.8436
0.403,2.53728,2.28292,13.8488
0.404,2.53852,2.28868,13.854
0.405,2.53974,2.29443,13.8593
0.406,2.54096,2.30018,13.8644
0.407,2.54216,2.30593,13.8696
0.408,2.54334,2.31168,13.8748
0.409,2.54451,2.31743,13.8799
0.41,2.54567,2.32317,13.885
0.411,2.54681,2.32892,13.8901
0.412,2.54794,2.33466,13.8952
0.413,2.54905,2.3404,13.9002
0.414,2.55015,2.34614,13.9053
0.415,2.55124,2.35187,13.9103
